Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
4,PROCESS,Oversampling_False,ResNet,0.6379242819843342,0.018575851393188854,0.009523809523809525,0.375,0.03688264254789559,0.625,0.8370757180156658,0.1629242819843342,8,3
5,PROCESS,Oversampling_False,ResNet,0.5733438485804416,0.010695187165775399,0.005464480874316941,0.25,0.009619453815945063,0.75,0.8086225026288117,0.19137749737118825,4,1
6,PROCESS,Oversampling_False,ResNet,0.994572591587517,0.015748031496062992,0.007936507936507936,1.0,0.08118142953208117,0.0,0.8303934871099049,0.16960651289009498,1,1
7,PROCESS,Oversampling_False,ResNet,0.8219827586206896,0.060606060606060594,0.031914893617021274,0.6,0.10361342690629119,0.4,0.8038793103448276,0.19612068965517243,5,3
8,PROCESS,Oversampling_False,ResNet,0.5321919029784198,0.08411214953271028,0.046632124352331605,0.42857142857142855,0.09229726381726149,0.5714285714285714,0.8277153558052435,0.17228464419475656,21,9
9,PROCESS,Oversampling_False,ResNet,0.7622212153249761,0.014051522248243561,0.007177033492822966,0.33333333333333326,0.02362059976599555,0.6666666666666665,0.8119619392840961,0.18803806071590393,9,3
10,PROCESS,Oversampling_False,ResNet,0.9935802469135803,0.0024752475247524753,0.0012391573729863693,1.0,0.02731194138210334,0.0,0.6019753086419753,0.3980246913580247,1,1
11,PROCESS,Oversampling_False,ResNet,0.5493827160493827,0.09090909090909091,0.05,0.5,0.09517561148403506,0.5,0.7654320987654321,0.2345679012345679,2,1
12,PROCESS,Oversampling_False,ResNet,0.5066961043488365,0.05369127516778524,0.02973977695167286,0.27586206896551724,0.02057814517317518,0.7241379310344827,0.7801179443976411,0.21988205560235888,29,8
13,PROCESS,Oversampling_False,ResNet,0.301038062283737,0.0,0.0,0.0,-0.05228758169934641,1.0,0.5570934256055363,0.4429065743944637,1,0
14,PROCESS,Oversampling_False,ResNet,0.5539586485123549,0.027149321266968326,0.014150943396226417,0.33333333333333326,0.039245159934311456,0.6666666666666665,0.8419062027231468,0.15809379727685324,9,3
15,PROCESS,Oversampling_False,ResNet,1.0,0.015267175572519085,0.007692307692307693,1.0,0.06450553148039767,0.0,0.5409252669039146,0.45907473309608543,1,1
16,PROCESS,Oversampling_False,ResNet,0.8295194508009154,0.04081632653061225,0.02097902097902098,0.75,0.08701478913417278,0.25,0.6796338672768879,0.32036613272311215,4,3
17,PROCESS,Oversampling_False,ResNet,0.45784333266892563,0.06575963718820861,0.03519417475728155,0.5,-0.029547812401705766,0.5,0.42557803468208094,0.5744219653179191,58,29
18,PROCESS,Oversampling_False,ResNet,0.7888652984194384,0.03292181069958848,0.016771488469601678,0.8888888888888888,0.07571614012092602,0.1111111111111111,0.5021231422505308,0.4978768577494692,9,8
19,PROCESS,Oversampling_False,ResNet,0.7577473489138268,0.05191256830601093,0.02676056338028169,0.8636363636363636,0.03036983174773601,0.13636363636363635,0.217440543601359,0.782559456398641,22,19
20,PROCESS,Oversampling_False,ResNet,0.762883526958594,0.0608695652173913,0.03167420814479638,0.7777777777777779,0.06267665724034513,0.2222222222222222,0.4262734584450402,0.5737265415549598,9,7
21,PROCESS,Oversampling_False,ResNet,0.7747839349262837,0.058715596330275226,0.030534351145038167,0.7619047619047619,0.1000245754112987,0.23809523809523805,0.6384341637010676,0.3615658362989324,21,16
22,PROCESS,Oversampling_False,ResNet,0.8278301886792453,0.017094017094017096,0.008620689655172414,1.0,0.079262417982037,0.0,0.7287735849056604,0.27122641509433965,1,1
23,PROCESS,Oversampling_False,ResNet,0.6348422726131704,0.06012024048096192,0.03112033195020747,0.8823529411764706,0.07038178718055357,0.1176470588235294,0.3357041251778094,0.6642958748221907,17,15
24,PROCESS,Oversampling_False,ResNet,0.5074235807860262,0.005847953216374269,0.002938295788442703,0.6,-0.019317130083891416,0.4,0.2590975254730713,0.7409024745269286,5,3
25,PROCESS,Oversampling_False,ResNet,0.8227438284095508,0.09160305343511449,0.04838709677419355,0.8571428571428571,0.15193551311699213,0.14285714285714285,0.6657223796033995,0.3342776203966006,7,6
26,PROCESS,Oversampling_False,ResNet,0.5240181048328223,0.0024024024024024023,0.0012033694344163659,0.6666666666666665,-0.004912232944702128,0.33333333333333326,0.2728865527814279,0.7271134472185721,3,2
27,PROCESS,Oversampling_False,ResNet,0.7416897999857641,0.014532243415077204,0.007326007326007325,0.8888888888888888,0.031903087959650994,0.1111111111111111,0.30557335041639977,0.6944266495836002,9,8
28,PROCESS,Oversampling_False,ResNet,0.4613492909254857,0.011678832116788324,0.005934718100890208,0.36363636363636365,-0.048450762502784774,0.6363636363636364,0.3958521190261497,0.6041478809738503,11,4
29,PROCESS,Oversampling_False,ResNet,0.9330543933054394,0.06185567010309278,0.031914893617021274,1.0,0.1405816407679204,0.0,0.6192468619246861,0.3807531380753138,3,3
1,PRODUCT,Oversampling_False,RandomForest,0.7384686346863469,0.15384615384615385,0.6,0.08823529411764706,0.22488544396072588,0.9117647058823529,0.9987699876998771,0.0012300123001230013,34,3
2,PRODUCT,Oversampling_False,RandomForest,0.7799840237361634,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42,0
3,PRODUCT,Oversampling_False,RandomForest,0.6543628624634212,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42,0
